text,label
"agency, and I only went into it because I've always quite liked looking round houses, plus I met this woman with amazing red lacquered nails at a career fair who told me she made so much money, she'dbe able to retire when she was forty. But the minute I started, I hated it. I hated all the other trainee estate agents. I hated saying things like 'a lovely aspect'. And I hated the way if someone said they could afford?,",educational
"University is rooted in liberal arts education. Each of the -plus academic programs pair core curriculum with specific studies in arts & sciences, music, communication, journalism, education & social policy, law, management, engineering & applied science and medicine. There are a dozen schools at Northwestern. Nine of the schools have degree programs for undergrads, while offer graduate and professional programs. Yale University is comprised of three schools: the undergraduate Yale College, the Graduate School of Arts & Sciences and the",educational
"one occasion in several houses at a time. The party starts in one house where they have some light wine and snacks, and then move on to another house and still another, travelling from house to house, taking drinks and food with them; and previous arrangements are made about what food each family cooks. Normally three or four houses are involved. Such a party is called progressive dinner. Generally Americans tend to be fairly informal. They often (but not always)",educational
"of their outlets, and replacing the old names with standard ones, such as the Harvester, frequently with no pictorial sign. A minority of pubs have thus lost their identity, as they have been converted into mediocre mass products; yet the majority of English pubs still hold on to their distinctive names, and in many cases their fine signs. English pubs are a fine tradition, with imitations all over the world; and no self-respecting imitation would consider itself authentic without a",educational
"to bed until they knew it. ""Yes, we had to work hard even when we were quite small,"" says Martin, ""But it seemed quite normal to us. Everyone in the family worked hard. Chinese people believe in hard work and in family values; it's part of our tradition, and I think that's why we're successful."". The experience of the Chow family was mirrored by thousands of other Chinese immigrant families all over Britain. While most Asian and West Indian immigrants",educational
"centre. Vancouver is Canada's chief Pacific port; manufacturing centre. It has a considerable Chinese population and a Chinatown. Annual International Festival of the arts is held here. Edmonton, the capital of the province of Alberta, is a petroleum and farming centre of Canada; gateway to the North. University of Alberta is situated here. Edmonton, is the site of the West Edmonton Mall, one of the world's largest indoor malls. Calgary (over, people), in the province of Alberta (Alta.) is an",educational
"was Jim's luck that made the fishing good."" As Jason eased, bow-first, into his docking berth, he saw two uniformed figures on the dock. He cut the engine and climbed from the boat, his eyes wide with alarm. ""Thank God, you're here, Officers! There's been a tragic accident."" ""We know,"" the taller cop said. ""My fath..."" Jason pulled out the ear plugs. ""What did you say?"" English Through Reading for EFL Learners INSTRUCTOR: DR. H. GHAEMI They cuffed Jason's hands",educational
"of their escort allowed Don Quixote and Sancho to stay in his luxurious villa in the middle of the city. For two weeks they lived like kings. They were paid daily visits by generals, admirals, and high-ranking public officials. Each morning, Don Quixote would take Rocinante for a trot along the beach. Then one day, as he was on his morning jaunt, he saw a figure approaching him from down the beach. The figure was a knight, wearing a full",educational
"1950s, there was a second building boom, featuring a new style. The United Nations Building was the first glass curtain wall skyscraper. Times Square is named after the New York Times, which for years had its headquarters there. The New York Times is considered among the best newspapers in the country. Times Square is the beginning of the theatre district Broadway has long been the centre of theatre in the United States. In addition to Broadway there are Off-Broadway and",educational
"in the USA for many years. It was in the 1980s in Odessa that the Teen Court was first suggested. Realizing that many teenage offenders were alienated by a justice system organized and controlled by people of a different generation, the court in Odessa decided to let offenders opt to be tried by other teenagers. Many thousands of teens have since been tried by their peers in Odessa, and almost all agree that it was the right thing to do.",educational
